fetched_at,commence_time,home_team,away_team,bookmaker,market,team,price,point
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,draftkings,spreads,Bowling Green Falcons,-110,1.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,draftkings,spreads,Toledo Rockets,-110,-1.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,draftkings,totals,Over,-108,151.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,draftkings,totals,Under,-112,151.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,betmgm,h2h,Bowling Green Falcons,105,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,betmgm,h2h,Toledo Rockets,-125,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,betmgm,spreads,Bowling Green Falcons,-110,1.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,betmgm,spreads,Toledo Rockets,-110,-1.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,betmgm,totals,Over,-110,151.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,betmgm,totals,Under,-110,151.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,pinnacle,h2h,Bowling Green Falcons,106,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,pinnacle,h2h,Toledo Rockets,-124,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,pinnacle,spreads,Bowling Green Falcons,-115,2.0
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,pinnacle,spreads,Toledo Rockets,-102,-2.0
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,pinnacle,totals,Over,-105,152.0
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,pinnacle,totals,Under,-115,152.0
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,draftkings,h2h,Alabama A&M Bulldogs,-105,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,draftkings,h2h,Texas Southern Tigers,-115,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,draftkings,spreads,Alabama A&M Bulldogs,-122,1.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,draftkings,spreads,Texas Southern Tigers,102,-1.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,draftkings,totals,Over,-105,143.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,draftkings,totals,Under,-115,143.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,fanduel,h2h,Alabama A&M Bulldogs,-105,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,fanduel,h2h,Texas Southern Tigers,-114,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,fanduel,spreads,Alabama A&M Bulldogs,-120,1.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,fanduel,spreads,Texas Southern Tigers,-102,-1.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,fanduel,totals,Over,-115,142.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,fanduel,totals,Under,-105,142.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,betmgm,h2h,Alabama A&M Bulldogs,-102,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,betmgm,h2h,Texas Southern Tigers,-118,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,betmgm,totals,Over,-110,142.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,betmgm,totals,Under,-110,142.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,pinnacle,h2h,Alabama A&M Bulldogs,100,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,pinnacle,h2h,Texas Southern Tigers,-116,
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,pinnacle,spreads,Alabama A&M Bulldogs,-106,1.0
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,pinnacle,spreads,Texas Southern Tigers,-111,-1.0
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,pinnacle,totals,Over,-118,142.5
20260312,2026-03-12T18:00:00Z,Texas Southern Tigers,Alabama A&M Bulldogs,pinnacle,totals,Under,-103,142.5
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,draftkings,h2h,Arkansas-Pine Bluff Golden Lions,200,
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,draftkings,h2h,Southern Jaguars,-245,
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,draftkings,spreads,Arkansas-Pine Bluff Golden Lions,-108,5.5
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,draftkings,spreads,Southern Jaguars,-112,-5.5
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,draftkings,totals,Over,-108,151.5
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,draftkings,totals,Under,-112,151.5
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,fanduel,h2h,Arkansas-Pine Bluff Golden Lions,198,
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,fanduel,h2h,Southern Jaguars,-245,
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,fanduel,spreads,Arkansas-Pine Bluff Golden Lions,-105,5.5
20260312,2026-03-12T18:00:00Z,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,fanduel,spreads,Southern Jaguars,-115,-5.5
